Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_20657_03030523_drab-drobniusienko.djvu;Drab - Drobniusieńko;drab-drobniusienko;drab;drobniusieńko;1;1;124;
KRIJP_20659_03030524_drobno-droga.djvu;Drobno - Droga;drobno-droga;drobno;droga;1;1;125;
KRIJP_20798_03030525_drogeria-drugi1.djvu;Drogeria - Drugi1;drogeria-drugi1;drogeria;drugi;1;1;126;
KRIJP_20799_03030526_drugi2.djvu;Drugi2;drugi2;drugi;drugi;2;2;127;
KRIJP_20800_03030527_drugi3-dryfusek.djvu;Drugi3 - Dryfusęk;drugi3-dryfusek;drugi;dryfusęk;3;1;128;
KRIJP_20801_03030528_drygac-drzewowy.djvu;Drygać - Drzewowy;drygac-drzewowy;drygać;drzewowy;1;1;129;
KRIJP_20802_03030529_drzewsko-dudki.djvu;Drzewsko - Dudki;drzewsko-dudki;drzewsko;dudki;1;1;130;
KRIJP_20803_03030530_dudkowac-dusza.djvu;Dudkować - Dusza;dudkowac-dusza;dudkować;dusza;1;1;131;
KRIJP_20804_03030531_duszek-dwa1.djvu;Duszek - Dwa1;duszek-dwa1;duszek;dwa;1;1;132;
KRIJP_20805_03030532_dwa2-dwojdroze.djvu;Dwa2 - Dwojdroże;dwa2-dwojdroze;dwa;dwojdroże;2;1;133;
KRIJP_20806_03030533_dwoje-dworniczka.djvu;Dwoje - Dwórniczka;dwoje-dworniczka;dwoje;dwórniczka;1;1;134;
KRIJP_20807_03030534_dwu-dym.djvu;Dwu - Dym;dwu-dym;dwu;dym;1;1;135;
KRIJP_20808_03030535_dyma-dystrakacja.djvu;Dyma - Dystrakacja;dyma-dystrakacja;dyma;dystrakacja;1;1;136;
KRIJP_20809_03030536_dystrybucja-dziad.djvu;Dystrybucja - Dziad;dystrybucja-dziad;dystrybucja;dziad;1;1;137;
KRIJP_20810_03030537_dziadek-dzieciak.djvu;Dziadek - Dzieciak;dziadek-dzieciak;dziadek;dzieciak;1;1;138;
KRIJP_20811_03030538_dzieciaty-dziegiec.djvu;Dzieciaty - Dziegieć;dzieciaty-dziegiec;dzieciaty;dziegieć;1;1;139;
KRIJP_20812_03030539_dziegna-dzientilija.djvu;Dziegna - Dzientilija;dziegna-dzientilija;dziegna;dzientilija;1;1;140;
KRIJP_20815_03030540_dzien.djvu;Dzień;dzien;dzień;dzień;1;1;141;
KRIJP_21017_03030541_dzien2-dziesiaty.djvu;Dzień2 - Dziesiąty;dzien2-dziesiaty;dzień;dziesiąty;2;1;142;
KRIJP_20813_03030542_dziesienski-dzieciol.djvu;Dziesieński - Dzięcioł;dziesienski-dzieciol;dziesieński;dzięcioł;1;1;143;
KRIJP_21019_03030543_dzieg-dzisdzien.djvu;Dzięg - Dziśdzień;dzieg-dzisdzien;dzięg;dziśdzień;1;1;144;
KRIJP_21018_03030544_dziob-dzwon.djvu;Dziób - Dzwon;dziob-dzwon;dziób;dzwon;1;1;145;
KRIJP_21020_03030545_dzwonarz-egzedra.djvu;Dzwonarz - Egzedra;dzwonarz-egzedra;dzwonarz;egzedra;1;1;146;
KRIJP_21023_03030546_egzekucja-ekspediowa.djvu;Egzekucja - Ekspediowanie;egzekucja-ekspediowa;egzekucja;ekspediowanie;1;1;147;
KRIJP_21024_03030547_ekspedycja-emundowac.djvu;Ekspedycja - Emundować_się;ekspedycja-emundowac;ekspedycja;emundować się;1;1;148;
KRIJP_21025_03030548_emundowani-e.djvu;Emundowani - Ę;emundowani-e;emundowani;ę;1;1;149;
KRIJP_21026_03030550_f-faruz.djvu;F - Faruż;f-faruz;f;faruż;1;1;150;
KRIJP_21027_03030549_faryjski-filandzki.djvu;Faryjski - Filandzki;faryjski-filandzki;faryjski;filandzki;1;1;151;
KRIJP_21028_03030551_filar-folwarczyki.djvu;Filar - Folwarczyki;filar-folwarczyki;filar;folwarczyki;1;1;152;
